"Afghanistan	",
"Albania	",995.383
"Algeria	",318.135
"Angola	",100.315
"Antigua and Barbuda	",414.302
"Argentina	",588.846
"Armenia	",534.86
"Australia	",961.865
"Austria	",724.031
"Azerbaijan	",739.433
"The Bahamas	",902.805
"Bahrain	",509.981
"Bangladesh	",286.868
"Barbados	",773.555
"Belarus	",749.119
"Belgium	",106.632
"Belize	",841.735
"Benin	",
"Bhutan	",843.402
"Bolivia	",886.231
"Bosnia and Herzegovina	",88.212
"Botswana	",40.957
"Brazil	",669.998
"Brunei Darussalam	",236.64
"Bulgaria	",831.661
"Burkina Faso	",
"Burundi	",
"Cabo Verde	",38.511
"Cambodia	",168.036
"Cameroon	",232.423
"Canada	",331.961
"Central African Republic	",
"Chad	",
"Chile	",340.905
"China	",989.72
"Colombia	",83.51
"Comoros	",
"Democratic Republic of the Congo	",
"Republic of Congo	",32.267
"Costa Rica	",936.243
"Côte d'Ivoire	",314.678
"Croatia	",572.905
"Cyprus	",587.49
"Czech Republic	",256.918
"Denmark	",114.165
"Djibouti	",788.363
"Dominica	",30.145
"Dominican Republic	",755.736
"Ecuador	",70.951
"Egypt	",740.249
"El Salvador	",40.317
"Equatorial Guinea	",762.386
"Eritrea	",
"Estonia	",288.083
"Ethiopia	",
"Fiji	",373.633
"Finland	",973.988
"France	",675.006
"Gabon	",735.939
"The Gambia	",
"Georgia	",788.624
"Germany	",996.511
"Ghana	",340.416
"Greece	",64.288
"Grenada	",936.578
"Guatemala	",929.081
"Guinea	",
"Guinea-Bissau	",
"Guyana	",125.021
"Haiti	",
"Honduras	",406.615
"Hong Kong SAR	",389.63
"Hungary	",239.894
"Iceland	",854.583
"India	",617.309
"Indonesia	",362.357
"Islamic Republic of Iran	",877.069
"Iraq	",819.487
"Ireland	",350.744
"Israel	",343.336
"Italy	",866.581
"Jamaica	",948.018
"Japan	",485.545
"Jordan	",513.009
"Kazakhstan	",795.629
"Kenya	",388.45
"Kiribati	",427.619
"Korea	",195.197
"Kosovo	",
"Kuwait	",363.027
"Kyrgyz Republic	",112.81
"Lao P.D.R.	",778.713
"Latvia	",618.569
"Lebanon	",236.793
"Lesotho	",51.606
"Liberia	",
"Libya	",58.671
"Lithuania	",210.28
"Luxembourg	",994.093
"FYR Macedonia	",786.84
"Madagascar	",
"Malawi	",
"Malaysia	",556.774
"Maldives	",999.971
"Mali	",
"Malta	",
"Marshall Islands	",355.547
"Mauritania	",282.331
"Mauritius	",218.428
"Mexico	",9.28
"Micronesia	",72.685
"Moldova	",804.685
"Mongolia	",951.906
"Montenegro	",489.101
"Morocco	",78.593
"Mozambique	",
"Myanmar	",291.963
"Namibia	",776.903
"Nepal	",
"Netherlands	",603.115
"New Zealand	",44.891
"Nicaragua	",949.232
"Niger	",
"Nigeria	",742.861
"Norway	",822.106
"Oman	",232.961
"Pakistan	",449.978
"Palau	",70.421
"Panama	",12.562
"Papua New Guinea	",84.713
"Paraguay	",9.567
"Peru	",21.104
"Philippines	",858.144
"Poland	",495.334
"Portugal	",121.592
"Qatar	",576.08
"Romania	",906.296
"Russia	",54.914
"Rwanda	",
"Samoa	",334.217
"San Marino	",846.896
"São Tomé and Príncipe	",568.968
"Saudi Arabia	",812.586
"Senegal	",
"Serbia	",119.757
"Seychelles	",940.706
"Sierra Leone	",
"Singapore	",887.77
"Slovak Republic	",991.736
"Slovenia	",732.482
"Solomon Islands	",952.481
"South Africa	",694.572
"South Sudan	",
"Spain	",864.721
"Sri Lanka	",889.411
"St. Kitts and Nevis	",109.707
"St. Lucia	",191.984
"St. Vincent and the Grenadines	",882.286
"Sudan	",175.397
"Suriname	",305.687
"Swaziland	",139.664
"Sweden	",866.266
"Switzerland	",675.308
"Syria	",
"Taiwan Province of China	",287.562
"Tajikistan	",
"Tanzania	",
"Thailand	",742.282
"Timor-Leste	",244.307
"Togo	",
"Tonga	",972.741
"Trinidad and Tobago	",85.759
"Tunisia	",922.653
"Turkey	",437.372
"Turkmenistan	",622.414
"Tuvalu	",14.63
"Uganda	",
"Ukraine	",
"United Arab Emirates	",60.015
"United Kingdom	",770.688
"United States	",805.204
"Uruguay	",748.192
"Uzbekistan	",120.778
"Vanuatu	",847.113
"Venezuela	",744.746
"Vietnam	",88.344
"Yemen	",302.94
"Zambia	",350.151
"Zimbabwe	",64.35
